Symbol,Company,Industry
AESGENER,AESGener Archived 2007-05-18 at the Wayback Machine,Electricity
AGUAS-A,Aguas Andinas,Water & Sanitation
ANDINA-B,Embotelladora Andina,Beverages
BCI,Banco de Crédito e Inversiones,Banks
BSANTANDER,Banco Santander Santiago,Banks
CAP,Compañía de Acero del Pacífico,Mining
CCU,Compañía Cervecerías Unidas,Beverages
CENCOSUD,Cencosud,Retailers
CHILE,Banco de Chile,Banks
CMPC,Empresas CMPC,Wood Pulp
COLBUN,Colbun,Electricity
CONCHATORO,Viña Concha y Toro,Wines
COPEC,Empresas Copec,Conglomerate
ECL,E-CL,Electricity
ENDESA,Empresa Nacional de Electricidad,Electricity
ENERSIS,Enersis,Electricity
ENTEL,Entel Chile,Telecoms
FALABELLA,S.A.C.I. Falabella,Retailers
IAM,Inversiones Aguas Metropolitanas,Water & Sanitation
ILC,ILC Inversiones,Conglomerate
LTM,Latam Airlines Group,Airline
PARAUCO,Parque Arauco S.A.,Shopping Mall Developer
RIPLEY,Ripley,Retailers
SALFACORP,Salfacorp,Real Estate Developer
SECURITY,Grupo Security,Banks
SONDA,Sonda,Software
SQM-B,Sociedad Química y Minera de Chile,Chemicals
VAPORES,Compañía Sudamericana de Vapores,Shipping
